ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
10813,הגדה של פסח עם תרגום אשכנזי,"פורסטנטאל, ר.י",פראג,תרמב,Prague,1882,65,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33057,,,,הגדה של פסח
10814,הגדה של פסח מדרש הגדה,"מלבי""ם, מאיר לייבוש ב""ר יחיאל מיכל",ווארשא,תרמג,Warsaw,1883,69,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33058,,,,הגדה של פסח
10815,"הגדה של פסח ע""פ ליל שמורים ונחלת אבות","ברנצקי, מאיר יונה בן שמואל",ווארשא,תרמג 1882,Warsaw,,84,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33059,,,,הגדה של פסח
10816,סדר הגדה של פסח שער השמים עם דרך חיים,"הורביץ, ישעיה בן אברהם, -1630",ווארשא,תרמג 1884,Warsaw,,45,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33060,,,,הגדה של פסח
10817,"הגדה של פסח מבוארה עם חמשה עשר באורים: כל בו, אמת ליעקב, ספורי נפלאות עם ציורים ועוד הוספות",,ווילנא,תרמג,Vilna,1883,88,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33061,,,,הגדה של פסח
10818,הגדה של פסח עברי טייטש,"קראנץ, יעקב",ווילנא,תרמג,Vilna,1883,56,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33062,,,,הגדה של פסח
10819,הגדה של פסח עם תרגום אנגלי,,נ.י.,תרמג,?,1883,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33063,,,,הגדה של פסח
10820,הגדה של פסח עברי טייטש ועם ציורים,"קראנץ, יעקב",ווילנא,תרמד,Vilna,1884,57,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33065,,,,הגדה של פסח
10821,"הגדה של פסח מבוארה עם חמשה עשר באורים כל בו, אמת ליעקב וספורי נפלאות",,ווילנא,תרמד,Vilna,1884,92,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33066,,,,הגדה של פסח
10822,הגדת ליל פסח עם תרגום לאדינו,,וינה,תרמד,Vienna,1884,56,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33068,,,,הגדה של פסח
10823,ערב פסח - זכר לפסח זכרנו לחיים,,ליוורנו,תרמד,Levorno,1884,219,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33069,,,,הגדה של פסח
10824,"סדר הגדה של פסח ע""ת אשכנזי",ה. סאקאלסקי,נ.י.,תרמד,,1884,72,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33070,,,,הגדה של פסח
10825,הגדה של פסח מר דרור מפענח קץ הגאולה,"מרדכי ב""ר נחמיה ושמשון ב""ר פסח מאוסטרופולי",ווארשא,תרמה,Warsaw,1885,72,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33071,,,,הגדה של פסח
10826,הגדה של פסח נטפי מים,"פאדווא, יעקב מאיר",ווארשא,תרמה,Warsaw,1885,55,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33072,,,,הגדה של פסח
10827,סדר הגדה של פסח עם פירוש המגיד מדובנא,"קרנץ, יעקב בן זאב, 1740-1804",ווילנא,תרמה 1884,Vilna,,63,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33073,,,,הגדה של פסח
10828,"הגדה של פסח עם עברי טייטש עם ברהמ""ז ושה""ש",,ווילנא,תרמה,Vilna,1885,44,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33074,,,,הגדה של פסח
10829,הגדה של פסח עם תרגום אשכנזי,,וינה,תרמה,Vienna,1885,32,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33075,,,,הגדה של פסח
10830,הגדה של פסח עם פני דוד וזרוע ימין,"חיד""א",פרעמישלא,תרמה,Prezysml,1885,48,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33076,,,,הגדה של פסח
10831,הגדה של פסח עם תרגום הונגרי עם ציורים הדינים באשכנזית,,בעץ,תרמו,,1886,61,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33077,,,,הגדה של פסח
10832,סדר הגדה של פסח - סוד קדושים,"שניאור זלמן בן ברוך (אדמו""ר הזקן); שניאורסאהן, מנחם מענדל בן שלום שכנא (צמח צדק); הורביץ, אהרן, מסטרשילוב",ווארשא,תרמו 1885,Warsaw,,77,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33078,,,,הגדה של פסח
10833,סדר הגדה של פסח עם פירוש המגיד מדובנא,"קרנץ, יעקב בן זאב, 1740-1804",ווארשא,תרמו,Warsaw,1886,48,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33079,,,,הגדה של פסח
10834,סדר הגדה של פסח מר דרור,"ביבלקינד, מרדכי בן נחמיה",ווארשא,תרמו,Warsaw,1886,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33080,,,,הגדה של פסח
10835,הגדה של פסח יציאת מצרים עם ציורים. הכל על עברי טייטש,"קראנץ, יעקב",ווארשא,תרמו,Warsaw,1886,32,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33081,,,,הגדה של פסח
10836,הגדה של פסח מעשה ידי יוצר,"קלוגר, שלמה",לבוב,תרמו,Lvov,1886,173,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33082,,,,הגדה של פסח
10837,"סדר הגדה של פסח ע""ת אנגלי",,נ.י.,תרמו 1885,?,,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33083,,,,הגדה של פסח
10838,הגדה של פסח עם תרגום אנגלית,,נ.י.,תרמו 1886,?,,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33084,,,,הגדה של פסח
10839,הגדה וסדר של פסח עם תרגום אנגלית עם ציורים,,נ.י.,תרמו,?,1886,60,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33085,,,,הגדה של פסח
10840,חרוזי מצות פירוש על ההגדה,"רטנר, יוסף יוזל",ווארשא,תרמז,Warsaw,1887,58,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33086,,,,הגדה של פסח
10841,"הגדה של פסח מבוארה עם חמשה עשר באורים כל בו, אמת ליעקב וספורי נפלאות",,ווילנא,תרמז,Vilna,1887,96,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33087,,,,הגדה של פסח
